Player,Pos.,2022 Team,2023 Team,Type,Snaps,Age,Current APY,Guarantees,Re-Sign,Adj Name,Adj Position
Rashard Higgins,WR,Panthers,,UFA,0.90%,29,"$1,187,500","$152,500",0,Rashard Higgins,WR
Dontrell Hilliard,RB,Titans,,UFA,18.40%,28,"$1,187,500","$152,500",0,Dontrell Hilliard,RB
Dan Arnold,WR,Jaguars,Eagles,Signed,12.50%,28,"$1,185,000","$50,000",0,Dan Arnold,TE
Stephen Anderson,TE,Cardinals,,UFA,11.00%,30,"$1,167,005",$0,0,Stephen Anderson,TE
Breshad Perriman,WR,Buccaneers,Colts,Signed,19.50%,30,"$1,165,000",$0,0,Breshad Perriman,WR
Jesse James,TE,Browns,Saints,Signed,1.50%,29,"$1,165,000",$0,0,Jesse James,TE
Demarcus Robinson,WR,Ravens,Rams,Signed,58.10%,29,"$1,165,000",$0,0,Demarcus Robinson,WR
Laquon Treadwell,WR,Seahawks,Ravens,Signed,12.60%,28,"$1,165,000",$0,0,Laquon Treadwell,WR
Marquez Callaway,WR,Saints,Broncos,Signed,37.70%,25,"$1,135,000","$302,500",0,Marquez Callaway,WR
Dwayne Washington,RB,Saints,,UFA,3.90%,29,"$1,135,000",$0,0,Dwayne Washington,RB
Maxx Williams,TE,Cardinals,,UFA,14.00%,29,"$1,120,000",$0,0,Maxx Williams,TE
Richard Rodgers,TE,Chargers,,UFA,8.10%,31,"$1,120,000",$0,0,Richard Rodgers,TE
Cole Beasley,WR,Bills,,UFA,2.70%,34,"$1,120,000",$0,0,Cole Beasley,WR
Anthony Firkser,TE,Falcons,Patriots,Signed,14.20%,28,"$1,080,000",$0,0,Anthony Firkser,TE
Jeff Driskel,QB,Texans,Cardinals,Signed,9.00%,30,"$1,080,000",$0,0,Jeff Driskel,QB
Pharaoh Brown,TE,Browns,Colts,Signed,30.30%,29,"$1,080,000",$0,0,Pharaoh Brown,TE
Trace McSorley,QB,Cardinals,Patriots,Signed,12.30%,28,"$1,080,000",$0,0,Trace McSorley,QB
Brett Rypien,QB,Broncos,Rams,Signed,15.40%,27,"$1,080,000",$0,0,Brett Rypien,QB
Tommy Sweeney,TE,Bills,Giants,Signed,6.30%,28,"$1,080,000",$0,0,Tommy Sweeney,TE
Trenton Cannon,RB,Titans,,UFA,0.00%,29,"$1,062,500",$0,0,Trenton Cannon,RB
Darrell Henderson,RB,Jaguars,,UFA,32.40%,26,"$1,053,001","$1,090,656",0,Darrell Henderson,RB
Pharoh Cooper,WR,Cardinals,,UFA,2.10%,28,"$1,035,000",$0,0,Pharoh Cooper,WR
Nick Vannett,TE,Saints,,UFA,18.70%,30,"$1,035,000",$0,0,Nick Vannett,TE
Justin Jackson,RB,Lions,,UFA,18.00%,27,"$1,035,000",$0,0,Justin Jackson,RB
Jeremy McNichols,RB,Steelers,,RFA,0.00%,28,"$1,035,000",$0,0,Jeremy McNichols,RB
Marcus Johnson,WR,Giants,,UFA,27.50%,29,"$1,035,000",$0,0,Marcus Johnson,WR
Marlon Mack,RB,Broncos,,UFA,5.60%,27,"$1,035,000",$0,0,Marlon Mack,RB
Jake Kumerow,WR,Bills,,UFA,8.50%,31,"$1,035,000",$0,0,Jake Kumerow,WR
Malcolm Brown,RB,Rams,,UFA,9.30%,30,"$1,035,000",$0,0,Malcolm Brown,RB
Eric Tomlinson,TE,Broncos,,UFA,35.80%,31,"$1,035,000",$0,0,Eric Tomlinson,TE
MyCole Pruitt,TE,Falcons,,UFA,30.50%,31,"$1,035,000",$0,0,MyCole Pruitt,TE
David Johnson,RB,Saints,,UFA,5.50%,32,"$1,035,000",$0,0,David Johnson,RB
Jordan Matthews,WR,49ers,,UFA,0.00%,31,"$1,035,000",$0,0,Jordan Matthews,TE
Kenyan Drake,RB,Ravens,,UFA,33.30%,29,"$1,035,000",$0,0,Kenyan Drake,RB
Royce Freeman,RB,Texans,,UFA,10.00%,27,"$1,035,000",$0,0,Royce Freeman,RB
Anthony Miller,WR,Steelers,,UFA,0.00%,29,"$1,035,000",$0,0,Anthony Miller,WR
Penny Hart,WR,Seahawks,Falcons,Signed,3.10%,27,"$1,010,000",$0,0,Penny Hart,WR
John Wolford,QB,Rams,Buccaneers,Signed,11.80%,28,"$1,010,000",$0,0,John Wolford,QB
Preston Williams,WR,Panthers,,SFA,0.20%,26,"$987,500",$0,0,Preston Williams,WR
C.J. Board,WR,Titans,,UFA,1.50%,30,"$965,000",$0,0,C.J. Board,WR
Freddie Swain,WR,Broncos,Dolphins,Signed,10.30%,25,"$952,500",$0,0,Freddie Swain,WR
Jacob Harris,WR,Rams,Jaguars,Signed,0.10%,26,"$940,000",$0,0,Jacob Harris,WR
Tony Jones,RB,Seahawks,Broncos,Signed,5.90%,26,"$940,000",$0,0,Tony Jones,RB
Quintez Cephus,WR,Lions,,SFA,4.50%,25,"$899,823","$304,292",0,Quintez Cephus,WR
Cody Hollister,WR,Titans,,UFA,16.50%,30,"$895,000",$0,0,Cody Hollister,WR
Darrynton Evans,RB,Bears,,RFA,4.70%,25,"$895,000",$0,0,Darrynton Evans,RB
J.J. Koski,WR,Rams,,SFA,0.00%,27,"$882,500",$0,0,J.J. Koski,WR
Jared Pinkney,TE,Rams,,SFA,0.30%,26,"$882,500",$0,0,Jared Pinkney,TE
Damarea Crockett,RB,Broncos,,SFA,0.00%,26,"$882,500",$0,0,Damarea Crockett,RB
Rodney Adams,WR,Jets,,SFA,0.00%,29,"$882,500",$0,0,Rodney Adams,WR
Kristian Wilkerson,WR,Colts,Raiders,Signed,0.00%,26,"$870,000",$0,0,Kristian Wilkerson,WR
Ricky Person Jr.,RB,Ravens,,SFA,0.00%,24,"$855,000","$5,000",0,Ricky Person,RB
Thomas Hennigan,WR,Vikings,,SFA,0.00%,25,"$854,167","$2,500",0,Thomas Hennigan,WR
Willie Johnson,WR,Jaguars,,SFA,0.00%,27,"$833,333",$0,0,Willie Johnson,WR
Antoine Wesley,WR,Cardinals,,RFA,0.00%,26,"$825,000",$0,0,Antoine Wesley,WR
Mitchell Wilcox,TE,Bengals,,RFA,44.70%,27,"$825,000",$0,0,Mitchell Wilcox,TE
Benjamin Snell Jr.,RB,Steelers,,UFA,3.60%,25,"$805,517","$702,068",0,Benny Snell,RB
Nikola Kalinic,TE,Colts,,ERFA,4.10%,26,"$787,500",$0,0,Nikola Kalinic,TE
Ian Bunting,TE,Cowboys,,SFA,0.00%,27,"$787,500",$0,0,Ian Bunting,TE
James Robinson,RB,Jets,,RFA,24.20%,25,"$763,333","$25,000",0,James Robinson,RB
Ben Ellefson,TE,Vikings,,RFA,3.70%,27,"$761,666",$0,0,Ben Ellefson,TE
Bryce Perkins,QB,Rams,,RFA,8.80%,27,"$742,500",$0,0,Bryce Perkins,QB
Elijah Holyfield,RB,Bengals,,ERFA,0.00%,26,"$705,000",$0,0,Elijah Holyfield,RB
Michael Bandy,WR,Chargers,,ERFA,17.20%,26,"$705,000",$0,0,Michael Bandy,WR
Eli Wolf,TE,Commanders,,ERFA,0.00%,26,"$705,000",$0,0,Eli Wolf,TE
Darius Anderson,RB,Texans,,ERFA,0.00%,26,"$705,000",$0,0,Darius Anderson,RB
Ty Johnson,RB,Jets,,UFA,15.50%,26,"$673,139","$172,556",0,Ty Johnson,RB
Olabisi Johnson,WR,Vikings,,UFA,0.00%,26,"$648,644","$74,576",0,Olabisi Johnson,WR
D'vonte Price,RB,Colts,,SFA,0.00%,23,"$234,667",$0,0,D'vonte Price,RB
Drew Estrada,WR,Texans,,SFA,0.00%,26,"$207,000",$0,0,Drew Estrada,WR
Dillon Stoner,WR,Raiders,,SFA,0.00%,25,"$207,000",$0,0,Dillon Stoner,WR
Jordan Franks,TE,Chiefs,,SFA,0.00%,27,"$207,000",$0,0,Jordan Franks,TE
Emeka Emezie,WR,Falcons,,SFA,0.00%,,"$207,000",$0,0,Emeka Emezie,WR
