season,player_id,player_name,recent_team,position,pff_id,player,metric,value,metric_cat
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Targets - 10+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Opps - 10+,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Opps - 12+,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Opps - 15+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Opps - 18+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Opps - 20+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY - 050+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY - 075+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY - 090+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY - 100+,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP Pos. Top-12 Rate,1,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP Pos. Top-24 Rate,1,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP FLEX Top-12 Rate,0,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP FLEX Top-24 Rate,1,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP FLEX Top-36 Rate,1,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP - Total,21.3,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,EPA,3.7135616180603392,Efficiency
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP/Gm,21.3,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Targets/Gm,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Targets/Gm SD,NA,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY/Gm,4,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,AY Std. Dev.,NA,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP ±,NA,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Games 1 SD Over EP,NA,Production
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. FP/Gm,11,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Expected FP ±,NA,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,FP vs. Exp.,9.5,Efficiency
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Gms.,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Positive FPVE Rate,1,Efficiency
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Non-xTD Share of xFP,0.5472432432432432,Efficiency
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Non-TD Share of FP,0.42307692307692313,Efficiency
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. Pos. Top-12 Rate,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. Pos. Top-24 Rate,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. Pos. Top-36 Rate,1,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. FLEX Top-12 Rate,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. FLEX Top-24 Rate,0,Opportunity
2020,00-0036188,Antonio Williams,BUF,RB,40197,Antonio Williams,Exp. Pts. FLEX Top-36 Rate,0,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 03+,1,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 06+,0.9333333333333333,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 07+,0.8666666666666667,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 08+,0.6666666666666666,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 09+,0.6,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets - 10+,0.6,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Opps - 10+,0.6,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Opps - 12+,0.4666666666666667,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Opps - 15+,0,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Opps - 18+,0,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Opps - 20+,0,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY - 050+,0.8,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY - 075+,0.5333333333333333,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY - 090+,0.4666666666666667,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY - 100+,0.4666666666666667,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP Pos. Top-12 Rate,0.9333333333333333,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP Pos. Top-24 Rate,0.9333333333333333,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP FLEX Top-12 Rate,0.4,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP FLEX Top-24 Rate,0.6666666666666666,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP FLEX Top-36 Rate,0.6666666666666666,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP - Total,312.76,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,EPA,74.62000433067442,Efficiency
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP/Gm,20.850666666666665,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets/Gm,9.666666666666666,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Targets/Gm SD,3.154739442867026,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY/Gm,82.4,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,AY Std. Dev.,43.2282976103121,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP ±,6.613055773745347,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Games 1 SD Over EP,2,Production
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. FP/Gm,14.5,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Expected FP ±,4.5,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,FP vs. Exp.,3,Efficiency
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Gms.,15,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Positive FPVE Rate,0.8,Efficiency
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Non-xTD Share of xFP,0.7705736575991973,Efficiency
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Non-TD Share of FP,0.7783966247391272,Efficiency
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. Pos. Top-12 Rate,0.9333333333333333,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. Pos. Top-24 Rate,0.9333333333333333,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. Pos. Top-36 Rate,1,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. FLEX Top-12 Rate,0.26666666666666666,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. FLEX Top-24 Rate,0.5333333333333333,Opportunity
2020,00-0030506,Travis Kelce,KC,TE,7844,Travis Kelce,Exp. Pts. FLEX Top-36 Rate,0.6,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 03+,0.8666666666666667,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 06+,0.6666666666666666,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 07+,0.5333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 08+,0.5333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 09+,0.3333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets - 10+,0.26666666666666666,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Opps - 10+,1,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Opps - 12+,1,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Opps - 15+,0.8666666666666667,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Opps - 18+,0.6666666666666666,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Opps - 20+,0.6,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY - 050+,0,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY - 075+,0,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY - 090+,0,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY - 100+,0,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP Pos. Top-12 Rate,0.8,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP Pos. Top-24 Rate,0.8666666666666667,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP FLEX Top-12 Rate,0.4,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP FLEX Top-24 Rate,0.6,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP FLEX Top-36 Rate,0.8666666666666667,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP - Total,377.8,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,EPA,17.188525719430615,Efficiency
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP/Gm,25.186666666666667,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets/Gm,7.133333333333334,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Targets/Gm SD,3.7959878568725443,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY/Gm,4,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,AY Std. Dev.,16.61754666438031,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP ±,13.191331930295672,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Games 1 SD Over EP,3,Production
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. FP/Gm,17.5,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Expected FP ±,6,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,FP vs. Exp.,5,Efficiency
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Gms.,15,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Positive FPVE Rate,0.6666666666666666,Efficiency
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Non-xTD Share of xFP,0.7131686324439128,Efficiency
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Non-TD Share of FP,0.6781592817122996,Efficiency
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. Pos. Top-12 Rate,0.7333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. Pos. Top-24 Rate,0.8666666666666667,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. Pos. Top-36 Rate,0.9333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. FLEX Top-12 Rate,0.5333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. FLEX Top-24 Rate,0.7333333333333333,Opportunity
2020,00-0033906,Alvin Kamara,NO,RB,11822,Alvin Kamara,Exp. Pts. FLEX Top-36 Rate,0.7333333333333333,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 03+,1,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 06+,0.9285714285714286,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 07+,0.8571428571428571,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 08+,0.8571428571428571,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 09+,0.8571428571428571,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets - 10+,0.7142857142857143,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Opps - 10+,0.7142857142857143,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Opps - 12+,0.42857142857142855,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Opps - 15+,0.14285714285714285,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Opps - 18+,0,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Opps - 20+,0,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY - 050+,0.7857142857142857,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY - 075+,0.7857142857142857,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY - 090+,0.5,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY - 100+,0.5,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP Pos. Top-12 Rate,0.5714285714285714,Production
