season,player_id,player_name,recent_team,position,pff_id,metric,value,fake_name
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Exp. FP  on Scrambles,2.7939220000000002,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,FP vs. Expected on Scrambles,-0.7605886666666667,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,FP vs. Expected,2.0199999999999996,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Exp. FP on Passes,14.06,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Top-12 FP (Among QBs) Rate,0.6666666666666666,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Top-24 FP (Among QBs) Rate,1,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Top 12 Exp. FP (Among QBs) Rate,0.6,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Top 24 Exp. FP (Among QBs) Rate,0.8666666666666667,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Passing Top 12 Exp. FP (Among QBs) Rate,0.2,QB A
2020,00-0034796,Lamar Jackson,BAL,QB,46416,Passing Top 24 Exp. FP (Among QBs) Rate,0.6666666666666666,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Adv. Efficiency,0.1147520910366686,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,300+ Yds Passing,0.1875,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,350+ Yds Passing,0.1875,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,adot,7.942202403680506,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,FP/Gm,24.9375,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Expected FP/Gm,22.1375,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Exp. FP  on Scrambles,2.416070625,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,FP vs. Expected on Scrambles,-0.12232062499999996,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,FP vs. Expected,2.8000000000000007,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Exp. FP on Passes,16.06875,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Top-12 FP (Among QBs) Rate,0.6875,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Top-24 FP (Among QBs) Rate,0.875,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Top 12 Exp. FP (Among QBs) Rate,0.8125,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Top 24 Exp. FP (Among QBs) Rate,0.9375,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Passing Top 12 Exp. FP (Among QBs) Rate,0.4375,QB A
2020,00-0035228,Kyler Murray,ARI,QB,38334,Passing Top 24 Exp. FP (Among QBs) Rate,0.875,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Adv. Efficiency,0.07060309456335095,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,300+ Yds Passing,0.13333333333333333,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,350+ Yds Passing,0.13333333333333333,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,adot,6.889109542026983,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,FP/Gm,17.32,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Expected FP/Gm,18.553333333333335,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Exp. FP  on Scrambles,1.4943873333333333,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,FP vs. Expected on Scrambles,-0.661054,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,FP vs. Expected,-1.2333333333333343,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Exp. FP on Passes,10.233333333333333,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Top-12 FP (Among QBs) Rate,0.4,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Top-24 FP (Among QBs) Rate,0.6,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Top 12 Exp. FP (Among QBs) Rate,0.26666666666666666,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Top 24 Exp. FP (Among QBs) Rate,0.8666666666666667,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Passing Top 12 Exp. FP (Among QBs) Rate,0.06666666666666667,QB A
2020,00-0027939,Cam Newton,NE,QB,6153,Passing Top 24 Exp. FP (Among QBs) Rate,0.26666666666666666,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Adv. Efficiency,0.09962897463996791,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,300+ Yds Passing,0,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,350+ Yds Passing,0,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,adot,7.198231714293096,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,FP/Gm,16.39,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Expected FP/Gm,18.740000000000002,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Exp. FP  on Scrambles,1.6258620000000001,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,FP vs. Expected on Scrambles,-0.5658620000000001,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,FP vs. Expected,-2.3500000000000014,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Exp. FP on Passes,15.91,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Top-12 FP (Among QBs) Rate,0.4,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Top-24 FP (Among QBs) Rate,0.6,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Top 12 Exp. FP (Among QBs) Rate,0.5,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Top 24 Exp. FP (Among QBs) Rate,0.7,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Passing Top 12 Exp. FP (Among QBs) Rate,0.5,QB A
2020,00-0033869,Mitchell Trubisky,CHI,QB,11757,Passing Top 24 Exp. FP (Among QBs) Rate,0.7,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Adv. Efficiency,0.11503071655069441,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,300+ Yds Passing,0.3125,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,350+ Yds Passing,0.1875,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,adot,8.554487496657375,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,FP/Gm,18.58125,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Expected FP/Gm,19.86875,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Exp. FP  on Scrambles,0.946415625,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,FP vs. Expected on Scrambles,-0.671415625,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,FP vs. Expected,-1.2874999999999979,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Exp. FP on Passes,18.587500000000002,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Top-12 FP (Among QBs) Rate,0.4375,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Top-24 FP (Among QBs) Rate,0.75,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Top 12 Exp. FP (Among QBs) Rate,0.5625,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Top 24 Exp. FP (Among QBs) Rate,1,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Passing Top 12 Exp. FP (Among QBs) Rate,0.6875,QB A
2020,00-0026143,Matt Ryan,ATL,QB,4317,Passing Top 24 Exp. FP (Among QBs) Rate,1,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Adv. Efficiency,0.09864285221533452,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,300+ Yds Passing,0.3333333333333333,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,350+ Yds Passing,0,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,adot,7.0196723547220925,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,FP/Gm,18.346666666666668,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Expected FP/Gm,18.366666666666667,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Exp. FP  on Scrambles,0.18609799999999999,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,FP vs. Expected on Scrambles,-0.046097999999999986,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,FP vs. Expected,-0.019999999999999574,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Exp. FP on Passes,17.98,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Top-12 FP (Among QBs) Rate,0.3333333333333333,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Top-24 FP (Among QBs) Rate,0.8666666666666667,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Top 12 Exp. FP (Among QBs) Rate,0.26666666666666666,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Top 24 Exp. FP (Among QBs) Rate,0.6666666666666666,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Passing Top 12 Exp. FP (Among QBs) Rate,0.4666666666666667,QB A
2020,00-0022924,Ben Roethlisberger,PIT,QB,1732,Passing Top 24 Exp. FP (Among QBs) Rate,0.9333333333333333,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Adv. Efficiency,0.15985880489498372,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,300+ Yds Passing,0.3125,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,350+ Yds Passing,0.0625,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,adot,8.093317541484197,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,FP/Gm,19.95,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Expected FP/Gm,16.85625,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Exp. FP  on Scrambles,0.9333750000000001,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,FP vs. Expected on Scrambles,-0.07087499999999997,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,FP vs. Expected,3.09375,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Exp. FP on Passes,15.3125,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Top-12 FP (Among QBs) Rate,0.5625,QB A
